"","fieldname","standard","vetted","namespace","source","comment"
"165","DWC:NOMENCLATURALCODE","nomenclaturalCode",1,"dwc","",""
"166","DWC:NOMENCLATURALSTATUS","nomenclaturalStatus",1,"dwc","",""
"167","DWC:OCCURRENCEID","occurrenceID",1,"dwc","",""
"168","DWC:OCCURRENCEREMARKS","occurrenceRemarks",1,"dwc","",""
"169","DWC:OCCURRENCESTATUS","occurrenceStatus",1,"dwc","",""
"170","DWC:ORDER","order",1,"dwc","",""
"171","DWC:ORGANISMID","organismID",1,"dwc","",""
"172","DWC:ORGANISMNAME","organismName",1,"dwc","",""
"173","DWC:ORGANISMQUANTITY","organismQuantity",1,"dwc","",""
"174","DWC:ORGANISMQUANTITYTYPE","organismQuantityType",1,"dwc","",""
"175","DWC:ORGANISMREMARKS","organismRemarks",1,"dwc","",""
"176","DWC:ORGANISMSCOPE","organismScope",1,"dwc","",""
"177","DWC:ORIGINALNAMEUSAGE","originalNameUsage",1,"dwc","",""
"178","DWC:ORIGINALNAMEUSAGEID","originalNameUsageID",1,"dwc","",""
"179","DWC:OTHERCATALOGNUMBERS","otherCatalogNumbers",1,"dwc","",""
"180","DWC:OWNERINSTITUTIONCODE","ownerInstitutionCode",1,"dwc","",""
"181","DWC:PARENTEVENTID","parentEventID",1,"dwc","",""
"182","DWC:PARENTNAMEUSAGE","parentNameUsage",1,"dwc","",""
"183","DWC:PARENTNAMEUSAGEID","parentNameUsageID",1,"dwc","",""
"184","DWC:PHYLUM","phylum",1,"dwc","",""
"185","DWC:POINTRADIUSSPATIALFIT","pointRadiusSpatialFit",1,"dwc","",""
"186","DWC:PREPARATIONS","preparations",1,"dwc","",""
"187","DWC:PREVIOUSIDENTIFICATIONS","previousIdentifications",1,"dwc","",""
"188","DWC:RECORDEDBY","recordedBy",1,"dwc","",""
"189","DWC:RECORDNUMBER","recordNumber",1,"dwc","",""
"190","DWC:REPRODUCTIVECONDITION","reproductiveCondition",1,"dwc","",""
"191","DWC:SAMPLESIZEUNIT","sampleSizeUnit",1,"dwc","",""
"192","DWC:SAMPLESIZEVALUE","sampleSizeValue",1,"dwc","",""
"193","DWC:SAMPLINGEFFORT","samplingEffort",1,"dwc","",""
