"","fieldname","standard","vetted","namespace","source","comment"
"287","LATESTEPOCHORHIGHESTSERIES","latestEpochOrHighestSeries",1,"dwc","",""
"288","LATESTERAORHIGHESTERATHEM","latestEraOrHighestErathem",1,"dwc","",""
"289","LATESTPERIODORHIGHESTSYSTEM","latestPeriodOrHighestSystem",1,"dwc","",""
"290","LATITUD","verbatimLatitude",1,"dwc","",""
"291","LATITUDE","verbatimLatitude",1,"dwc","","If dwc:verbatimLatitude not populated"
"292","LENGTH","length",1,"dwcloud","","dynamicProperties as length, or MeasurementOrFact"
"293","LICENSE","license",1,"dcterms","",""
"294","LIFESTAGE","lifeStage",1,"dwc","",""
"295","LITHOSTRATIGRAPHICTERMS","lithostratigraphicTerms",1,"dwc","",""
"296","LOCALIDAD","locality",1,"dwc","",""
"297","LOCALITY","locality",1,"dwc","",""
"298","LOCATIONACCORDINGTO","locationAccordingTo",1,"dwc","",""
"299","LOCATIONID","locationID",1,"dwc","",""
"300","LOCATIONREMARKS","locationRemarks",1,"dwc","",""
"301","LON","verbatimLongitude",1,"dwc","","If dwc:verbatimLongitude not populated"
"302","LONG","verbatimLongitude",1,"dwc","","If dwc:verbatimLongitude not populated"
"303","LONGITUD","verbatimLongitude",1,"dwc","",""
"304","LONGITUDE","verbatimLongitude",1,"dwc","","If dwc:verbatimLongitude not populated"
"305","LOT COUNT","individualCount",1,"dwc","",""
"306","LOWESTBIOSTRATIGRAPHICZONE","lowestBiostratigraphicZone",1,"dwc","",""
"307","MATERIALSAMPLEID","materialSampleID",1,"dwc","",""
"308","MAXIMUMDEPTHINMETERS","maximumDepthInMeters",1,"dwc","",""
"309","MAXIMUMDISTANCEABOVESURFACEINMETERS","maximumDistanceAboveSurfaceInMeters",1,"dwc","",""
"310","MAXIMUMELEVATIONINMETERS","maximumElevationInMeters",1,"dwc","",""
"311","MEMBER","member",1,"dwc","",""
"312","MES","month",1,"dwc","",""
"313","MICROHABITAT","",1,"","FIMS",""
"314","MINIMUMDEPTHINMETERS","minimumDepthInMeters",1,"dwc","",""
"315","MINIMUMDISTANCEABOVESURFACEINMETERS","minimumDistanceAboveSurfaceInMeters",1,"dwc","",""
"316","MINIMUMELEVATIONINMETERS","minimumElevationInMeters",1,"dwc","",""
"317","MODIFIED","modified",1,"dcterms","",""
"318","MONTH","month",1,"dwc","",""
"319","MONTHCOLLECTED","month",1,"dwc","",""
"320","MONTHIDENTIFIED","monthIdentified",1,"dwcloud","","Contributes to dwc:dateIdentified"
"321","MUNICIPALITY","municipality",1,"dwc","",""
"322","MUNICIPIO","municipality",1,"dwc","",""
"323","NAMEACCORDINGTO","nameAccordingTo",1,"dwc","",""
